#Intellectual Property Rights Notice for Open Specifications Documentation
#Technical Documentation. Microsoft publishes Open Specifications documentation (“this
#documentation”) for protocols, file formats, data portability, computer languages, and standards
#support. Additionally, overview documents cover inter-protocol relationships and interactions.
#Copyrights. This documentation is covered by Microsoft copyrights. Regardless of any other
#terms that are contained in the terms of use for the Microsoft website that hosts this
#documentation, you can make copies of it in order to develop implementations of the technologies
#that are described in this documentation and can distribute portions of it in your implementations
#that use these technologies or in your documentation as necessary to properly document the
#implementation. You can also distribute in your implementation, with or without modification, any
#schemas, IDLs, or code samples that are included in the documentation. This permission also
#applies to any documents that are referenced in the Open Specifications documentation.
#No Trade Secrets. Microsoft does not claim any trade secret rights in this documentation.
#Patents. Microsoft has patents that might cover your implementations of the technologies
#described in the Open Specifications documentation. Neither this notice nor Microsoft's delivery of
#this documentation grants any licenses under those patents or any other Microsoft patents.
#However, a given Open Specifications document might be covered by the Microsoft Open
#Specifications Promise or the Microsoft Community Promise. If you would prefer a written license,
#or if the technologies described in this documentation are not covered by the Open Specifications
#Promise or Community Promise, as applicable, patent licenses are available by contacting
#iplg@microsoft.com.
#License Programs. To see all of the protocols in scope under a specific license program and the
#associated patents, visit the Patent Map.
#Trademarks. The names of companies and products contained in this documentation might be
#covered by trademarks or similar intellectual property rights. This notice does not grant any
#licenses under those rights. For a list of Microsoft trademarks, visit
#www.microsoft.com/trademarks.
#Fictitious Names. The example companies, organizations, products, domain names, email
#addresses, logos, people, places, and events that are depicted in this documentation are fictitious.
#No association with any real company, organization, product, domain name, email address, logo,
#person, place, or event is intended or should be inferred.
#Reservation of Rights. All other rights are reserved, and this notice does not grant any rights other
#than as specifically described above, whether by implication, estoppel, or otherwise.
#Tools. The Open Specifications documentation does not require the use of Microsoft programming
#tools or programming environments in order for you to develop an implementation. If you have access
#to Microsoft programming tools and environments, you are free to take advantage of them. Certain
#Open Specifications documents are intended for use in conjunction with publicly available standards
#specifications and network programming art and, as such, assume that the reader either is familiar
#with the aforementioned material or has immediate access to it.
#Support. For questions and support, please contact dochelp@microsoft.com.
#
# content below has been extracted from the open specification MS-WSP
#
#Property Name,GUID,propID,inInvertedIndex,isColumn,columnIndexType,type,MaxSize,Vector Property,Description
#
System.AcquisitionID,{65A98875-3C80-40AB-ABBC-EFDAF77DBEE2},100,FALSE,TRUE, ,Int32,4, ,Hash to determine acquisition session.
System.ApplicationName,{F29F85E0-4FF9-1068-AB91-08002B27B3D9},18,TRUE,TRUE, ,String,512, , 
System.Audio.ChannelCount,{64440490-4C8B-11D1-8B70-080036B11A03},7,FALSE,TRUE, ,UInt32,4, ,"Indicates the channel count for the audio file. Values: 1 (mono), 2 (stereo)."
System.Audio.EncodingBitrate,{64440490-4C8B-11D1-8B70-080036B11A03},4,FALSE,TRUE, ,UInt32,4, ,"Indicates the average data rate in Hz for the audio file in ""bits per second""."
System.Audio.PeakValue,{2579E5D0-1116-4084-BD9A-9B4F7CB4DF5E},100,FALSE,TRUE, ,UInt32,4, , 
System.Audio.SampleRate,{64440490-4C8B-11D1-8B70-080036B11A03},5,FALSE,TRUE, ,UInt32,4, ,"Indicates the audio sample rate for the audio file in ""samples per second""."
System.Audio.SampleSize,{64440490-4C8B-11D1-8B70-080036B11A03},6,FALSE,TRUE, ,UInt32,4, ,"Indicates the audio sample size for the audio file in ""bits per sample""."
System.Author,{F29F85E0-4FF9-1068-AB91-08002B27B3D9},4,TRUE,TRUE, ,String,256,TRUE, 
System.Calendar.Duration,{293CA35A-09AA-4DD2-B180-1FE245728A52},100,TRUE,TRUE, ,String,512, ,The duration as specified in a string.
System.Calendar.IsOnline,{BFEE9149-E3E2-49A7-A862-C05988145CEC},100,FALSE,TRUE, ,Boolean,2, ,Indicates whether the event is an online event.
System.Calendar.IsRecurring,{315B9C8D-80A9-4EF9-AE16-8E746DA51D70},100,FALSE,TRUE, ,Boolean,2, , 
System.Calendar.Location,{F6272D18-CECC-40B1-B26A-3911717AA7BD},100,TRUE,TRUE, ,String,512, , 
System.Calendar.OptionalAttendeeAddresses,{D55BAE5A-3892-417A-A649-C6AC5AAAEAB3},100,TRUE,TRUE, ,String,256,TRUE, 
System.Calendar.OptionalAttendeeNames,{09429607-582D-437F-84C3-DE93A2B24C3C},100,TRUE,TRUE, ,String,256,TRUE, 
